code,rank,bl,country,gdp,last
USA,1,,United States,"25439700",
CHN,2,,China,"17963171",
JPN,3,,Japan,"4232174",
DEU,4,,Germany,"4082469",
IND,5,,India,"3416646",
GBR,6,,United Kingdom,"3089073",
FRA,7,,France,"2779092",
RUS,8,,Russian Federation,"2240422",
CAN,9,,Canada,"2137939",
ITA,10,,Italy,"2049737",
BRA,11,,Brazil,"1920096",
AUS,12,,Australia,"1692957",
KOR,13,,"Korea Rep.","1673916",
MEX,14,,Mexico,"1465854",
ESP,15,,Spain,"1417800",
IDN,16,,Indonesia,"1319100",
SAU,17,,Saudi Arabia,"1108572",
NLD,18,,Netherlands,"1009399",
TUR,19,,Türkiye,"907118",
CHE,20,,Switzerland,"818427",
POL,21,,Poland,"688125",
CUB,22,,Cuba,"633442",
ARG,23,,Argentina,"631133",
SWE,24,,Sweden,"591189",
BEL,25,,Belgium,"583436",
NOR,26,,Norway,"579422",
IRL,27,,Ireland,"533140",
ISR,28,,Israel,"525002",
ARE,29,,United Arab Emirates,"507064",
THA,30,,Thailand,"495423",
EGY,31,,"Egypt Arab Rep.","476748",
NGA,32,,Nigeria,"472625",
AUT,33,,Austria,"470942",
SGP,34,,Singapore,"466788",
BGD,35,,Bangladesh,"460201",
IRN,36,,"Iran Islamic Rep.","413493",
VNM,37,,Viet Nam,"408802",
MYS,38,,Malaysia,"407027",
ZAF,39,,South Africa,"405271",
PHL,40,,Philippines,"404284",
DNK,41,,Denmark,"400167",
PAK,42,,Pakistan,"374697",
HKG,43,,"Hong Kong SAR China","359839",
COL,44,,Colombia,"343622",
CHL,45,,Chile,"301025",
ROU,46,,Romania,"300691",
CZE,47,,Czech Republic,"290528",
FIN,48,,Finland,"282896",
IRQ,49,,Iraq,"264182",
PRT,50,,Portugal,"255197",
NZL,51,,New Zealand,"248102",
PER,52,,Peru,"242632",
QAT,53,,Qatar,"236258",
KAZ,54,,Kazakhstan,"225496",
GRC,55,,Greece,"217581",
DZA,56,,Algeria,"194998",
HUN,57,,Hungary,"177337",
KWT,58,,Kuwait,"175363",
UKR,59,,Ukraine,"160503",a
MAR,60,,Morocco,"130913",b
ETH,61,,Ethiopia,"126783",
SVK,62,,Slovak Republic,"115462",
ECU,63,,Ecuador,"115049",
OMN,64,,Oman,"114667",
DOM,65,,Dominican Republic,"113537",
PRI,66,,Puerto Rico,"113435",
KEN,67,,Kenya,"113420",
AGO,68,,Angola,"106783",
GTM,69,,Guatemala,"95003",
BGR,70,,Bulgaria,"90346",
LUX,71,,Luxembourg,"81642",
UZB,72,,Uzbekistan,"80392",
AZE,73,,Azerbaijan,"78721",
PAN,74,,Panama,"76523",
TZA,75,,Tanzania,"75732",c
LKA,76,,Sri Lanka,"74404",
GHA,77,,Ghana,"73766",
BLR,78,,Belarus,"72793",
HRV,79,,Croatia,"71600",
URY,80,,Uruguay,"71177",
LTU,81,,Lithuania,"70974",
CIV,82,,Côte d'Ivoire,"70019",
CRI,83,,Costa Rica,"69244",
COD,84,,"Congo Dem. Rep.","64719",
SRB,85,,Serbia,"63563",
MMR,86,,Myanmar,"62263",
SVN,87,,Slovenia,"60063",
TKM,88,,Turkmenistan,"56543",
SDN,89,,Sudan,"51662",
JOR,90,,Jordan,"48653",
TUN,91,,Tunisia,"46304",
LBY,92,,Libya,"45752",
UGA,93,,Uganda,"45567",
BHR,94,,Bahrain,"44383",
BOL,95,,Bolivia,"44008",
CMR,96,,Cameroon,"43644",
PRY,97,,Paraguay,"41722",
LVA,98,,Latvia,"40932",
NPL,99,,Nepal,"40828",
EST,100,,Estonia,"38101",
SLV,101,,El Salvador,"32489",
HND,102,,Honduras,"31718",
PNG,103,,Papua New Guinea,"31604",
TTO,104,,Trinidad and Tobago,"30054",
KHM,105,,Cambodia,"29505",
CYP,106,,Cyprus,"29251",d
ZMB,107,,Zambia,"29164",
ISL,108,,Iceland,"28065",
SEN,109,,Senegal,"27684",
ZWE,110,,Zimbabwe,"27367",
GEO,111,,Georgia,"24781",e
BIH,112,,Bosnia and Herzegovina,"24474",
MAC,113,,"Macao SAR China","24042",
LBN,114,,Lebanon,"23132",
GAB,115,,Gabon,"21072",
GIN,116,,Guinea,"20999",
BWA,117,,Botswana,"20356",
HTI,118,,Haiti,"20254",
ARM,119,,Armenia,"19513",
PSE,120,,West Bank and Gaza,"19112",
ALB,121,,Albania,"18916",
MLI,122,,Mali,"18827",
BFA,123,,Burkina Faso,"18820",
MOZ,124,,Mozambique,"18407",
MLT,125,,Malta,"18126",
BEN,126,,Benin,"17397",
MNG,127,,Mongolia,"17146",
JAM,128,,Jamaica,"17098",
BRN,129,,Brunei Darussalam,"16682",
COG,130,,"Congo Rep.","15817",
NIC,131,,Nicaragua,"15672",
LAO,132,,Lao PDR,"15469",
NER,133,,Niger,"15342",
MDG,134,,Madagascar,"15297",
GUY,135,,Guyana,"14718",
MDA,136,,Moldova,"14508",f
AFG,137,,Afghanistan,"14266",
MKD,138,,North Macedonia,"13563",
RWA,139,,Rwanda,"13311",
MWI,140,,Malawi,"13165",
MUS,141,,Mauritius,"12949",
NAM,142,,Namibia,"12915",
BHS,143,,"Bahamas The","12897",
TCD,144,,Chad,"12704",
GNQ,145,,Equatorial Guinea,"12030",
CHI,146,,Channel Islands,"11736",
KGZ,147,,Kyrgyz Republic,"11544",
TJK,148,,Tajikistan,"10492",
SOM,149,,Somalia,"10420",
MRT,150,,Mauritania,"9781",
NCL,151,,New Caledonia,"9623",
XKX,152,,Kosovo,"9409",
SYR,153,,Syrian Arab Republic,"8970",
MCO,154,,Monaco,"8784",
TGO,155,,Togo,"8341",
LIE,156,,Liechtenstein,"7710",
BMU,157,,Bermuda,"7546",
CYM,158,,Cayman Islands,"6845",
IMN,159,,Isle of Man,"6684",
MNE,160,,Montenegro,"6230",
MDV,161,,Maldives,"6171",
GUM,162,,Guam,"6123",
PYF,163,,French Polynesia,"5815",
BRB,164,,Barbados,"5700",
FJI,165,,Fiji,"4980",
SWZ,166,,Eswatini,"4791",
VIR,167,,Virgin Islands (U.S.),"4444",
SLE,168,,Sierra Leone,"4095",
LBR,169,,Liberia,"4001",
SUR,170,,Suriname,"3621",
FRO,171,,Faroe Islands,"3556",
ABW,172,,Aruba,"3545",
DJI,173,,Djibouti,"3515",
AND,174,,Andorra,"3352",
BDI,175,,Burundi,"3339",
GRL,176,,Greenland,"3236",
TLS,177,,Timor-Leste,"3205",
CUW,178,,Curaçao,"3075",
BLZ,179,,Belize,"2831",
BTN,180,,Bhutan,"2768",
CAF,181,,Central African Republic,"2383",
LCA,182,,St. Lucia,"2344",
LSO,183,,Lesotho,"2237",
CPV,184,,Cabo Verde,"2227",
GMB,185,,"Gambia The","2187",
ATG,186,,Antigua and Barbuda,"1868",
SMR,187,,San Marino,"1855",
GNB,188,,Guinea-Bissau,"1634",
SLB,189,,Solomon Islands,"1597",
SYC,190,,Seychelles,"1588",
SXM,191,,Sint Maarten (Dutch part),"1537",
COM,192,,Comoros,"1243",
GRD,193,,Grenada,"1215",
TCA,194,,Turks and Caicos Islands,"1139",
VUT,195,,Vanuatu,"1056",
KNA,196,,St. Kitts and Nevis, 966 ,
VCT,197,,St. Vincent and the Grenadines, 949 ,
ASM,198,,American Samoa, 871 ,
MNP,199,,Northern Mariana Islands, 858 ,
WSM,200,,Samoa, 833 ,
MAF,201,,St. Martin (French part), 649 ,
DMA,202,,Dominica, 607 ,
STP,203,,São Tomé and Principe, 543 ,
TON,204,,Tonga, 469 ,
FSM,205,,"Micronesia Fed. Sts.", 424 ,
MHL,206,,Marshall Islands, 259 ,
PLW,207,,Palau, 233 ,
KIR,208,,Kiribati, 223 ,
NRU,209,,Nauru, 152 ,
TUV,210,,Tuvalu, 59 ,
VGB,,,British Virgin Islands, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea Dem. People's Rep.", -   ,
SSD,,,South Sudan, -   ,
VEN,,,"Venezuela RB", -   ,
YEM,,,"Yemen Rep.", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World,"101325687",
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific,"30688236",
ECS,,,Europe & Central Asia,"25329956",
LCN,,,Latin America & Caribbean,"6820032",
MEA,,,Middle East & North Africa,"4426622",
NAC,,,North America,"27585185",
SAS,,,South Asia,"4390348",
SSF,,,Sub-Saharan Africa,"2060531",
LIC,,,Low income,"528125",
LMC,,,Lower middle income,"8171521",
UMC,,,Upper middle income,"30609458",
HIC,,,High income,"61667467",
,,,,,
,"- Not available.  
Note: Table list 217 economies but rankings include only those with confirmed GDP estimates for at least one year during the last three years period. Figures in italics are for 2021 or 2020.
a. Based on data from official statistics of Ukraine and Russian Federation as well as the United Nations; by relying on these data the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b. Includes Western Sahara.  c. Covers mainland Tanzania only.  d. Data are for the area controlled by the government of Cyprus.  e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.",,,,
,,,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
